img,MSE,PSNR,SSIM,CosSimilarity
SpeckleNoise_0.4,20.2703,0.9558,85.0622,0.2366
SpeckleNoise_0.5,20.0745,0.9561,85.1044,0.2412
SpeckleNoise_0.6,20.0038,0.9563,85.1197,0.2455
SpeckleNoise_0.7,20.2421,0.9555,85.0682,0.2376
GaussBlur_5,17.6762,0.9609,85.6569,0.3402
GaussBlur_7,19.0329,0.9581,85.3358,0.2883
GaussBlur_9,20.5265,0.9553,85.0077,0.2349
GaussBlur_11,21.6704,0.9527,84.7721,0.1916
GaussBlur_13,22.4864,0.9500,84.6116,0.1611
GaussBlur_15,23.3507,0.9474,84.4478,0.1320
ColorReduce_32,10.2501,0.9767,88.0235,0.6399
ColorReduce_16,11.7089,0.9719,87.4456,0.5838
ColorReduce_8,11.6796,0.9718,87.4565,0.5843
ColorReduce_4,11.6676,0.9717,87.4610,0.5846
im_scaled_2.5,19.3286,0.9439,85.2688,0.1914
im_scaled_2,17.8324,0.9460,85.6187,0.2561
im_scaled_1.6,15.1127,0.9524,86.3374,0.3711
im_scaled_1.25,11.9566,0.9598,87.3547,0.4987
im_scaled_0.8,12.3613,0.9626,87.2102,0.4891
im_scaled_0.625,15.0925,0.9545,86.3432,0.3667
im_scaled_0.5,16.8720,0.9483,85.8591,0.2868
im_scaled_0.4,18.7043,0.9414,85.4114,0.1899
im_scaled_0.25,18.0540,0.9367,85.5651,0.1001
im_scaled_0.2,16.8968,0.9418,85.8528,0.0488
GaussNoise_std_0.1,13.0510,0.9592,86.9744,0.4489
GaussNoise_std_0.3,12.8699,0.9571,87.0351,0.4620
GaussNoise_std_0.5,14.3165,0.9512,86.5724,0.4013
GaussNoise_std_0.7,15.6391,0.9471,86.1887,0.3547
GaussNoise_std_0.9,16.5267,0.9440,85.9489,0.3241
GaussNoise_std_1.1,17.2248,0.9408,85.7693,0.2938
SaltPepperNoise_0.02,7.0913,0.9810,89.6235,0.7335
SaltPepperNoise_0.04,7.2784,0.9796,89.5105,0.7268
SaltPepperNoise_0.06,7.6028,0.9785,89.3210,0.7129
SaltPepperNoise_0.08,7.9985,0.9762,89.1007,0.6989
SaltPepperNoise_0.10,8.0616,0.9747,89.0666,0.6973
SaltPepperNoise_0.12,8.6820,0.9724,88.7446,0.6718
SpeckleNoise_0.2,13.8016,0.9564,86.7315,0.4186
SpeckleNoise_0.3,13.5604,0.9568,86.8081,0.4294
SpeckleNoise_0.4,13.9054,0.9565,86.6990,0.4176
SpeckleNoise_0.5,13.6535,0.9572,86.7783,0.4299
SpeckleNoise_0.6,13.7476,0.9572,86.7485,0.4212
SpeckleNoise_0.7,13.4371,0.9575,86.8477,0.4354
GaussBlur_5,12.7906,0.9605,87.0619,0.4799
GaussBlur_7,15.0835,0.9551,86.3458,0.3851
GaussBlur_9,17.0213,0.9521,85.8209,0.3131
GaussBlur_11,18.6513,0.9495,85.4237,0.2550
GaussBlur_13,19.8430,0.9469,85.1547,0.2059
GaussBlur_15,21.1070,0.9442,84.8865,0.1642
ColorReduce_32,9.9353,0.9730,88.1590,0.6201
ColorReduce_16,9.6979,0.9710,88.2640,0.6262
ColorReduce_8,13.1357,0.9607,86.9463,0.4939
