img,MSE,PSNR,SSIM,CosSimilarity
_,0.0000,1.0000,361.2020,1.0000
im_scaled_2.5,23.0748,0.9381,84.4994,0.1608
im_scaled_2,21.6685,0.9405,84.7725,0.2094
im_scaled_1.6,20.0782,0.9429,85.1036,0.2693
im_scaled_1.25,19.0043,0.9464,85.3423,0.3064
im_scaled_0.8,19.1551,0.9470,85.3080,0.2875
im_scaled_0.625,20.1713,0.9426,85.0835,0.2345
im_scaled_0.5,21.3179,0.9371,84.8434,0.1737
im_scaled_0.4,22.2445,0.9295,84.6586,0.1097
im_scaled_0.25,21.4597,0.9267,84.8146,0.0412
im_scaled_0.2,20.3255,0.9279,85.0504,0.0163
GaussNoise_std_0.1,21.3627,0.9426,84.8343,0.2162
GaussNoise_std_0.3,21.8974,0.9383,84.7269,0.2005
GaussNoise_std_0.5,21.3728,0.9343,84.8322,0.2018
GaussNoise_std_0.7,23.7087,0.9294,84.3817,0.1347
GaussNoise_std_0.9,23.3893,0.9267,84.4406,0.1201
GaussNoise_std_1.1,23.1812,0.9256,84.4794,0.1280
SaltPepperNoise_0.02,10.2699,0.9756,88.0151,0.6658
SaltPepperNoise_0.04,11.0107,0.9729,87.7127,0.6427
SaltPepperNoise_0.06,11.8207,0.9699,87.4044,0.6190
SaltPepperNoise_0.08,11.6385,0.9685,87.4718,0.6180
SaltPepperNoise_0.10,11.7210,0.9666,87.4412,0.6173
SaltPepperNoise_0.12,12.1046,0.9639,87.3013,0.5988
SpeckleNoise_0.2,22.7791,0.9384,84.5554,0.1672
SpeckleNoise_0.3,22.3662,0.9381,84.6349,0.1751
SpeckleNoise_0.4,22.6388,0.9385,84.5823,0.1783
SpeckleNoise_0.5,22.1901,0.9391,84.6692,0.1894
SpeckleNoise_0.6,22.7127,0.9377,84.5681,0.1690
SpeckleNoise_0.7,22.9245,0.9377,84.5278,0.1692
GaussBlur_5,18.4471,0.9492,85.4715,0.3333
GaussBlur_7,20.5170,0.9468,85.0097,0.2646
GaussBlur_9,22.5531,0.9445,84.5987,0.2002
GaussBlur_11,24.0307,0.9419,84.3231,0.1561
GaussBlur_13,25.1309,0.9396,84.1287,0.1285
GaussBlur_15,26.3756,0.9367,83.9188,0.0934
ColorReduce_32,11.7019,0.9738,87.4482,0.6247
ColorReduce_16,11.6600,0.9739,87.4638,0.6253
ColorReduce_8,11.9288,0.9736,87.3648,0.6167
ColorReduce_4,12.6924,0.9723,87.0954,0.5931
