img,MSE,PSNR,SSIM,CosineSimilarity
test,0.0000,1.0000,361.2020,1.0000
scaled1.25,0.0604,0.9798,90.3213,0.7737
scaled0.5,0.1493,0.9538,86.3895,0.3914
scaled0.25,0.1745,0.9440,85.7119,0.1005
GaussNoise,0.0589,0.9762,90.4326,0.7779
SaltPepperNoise,0.0735,0.9704,89.4668,0.7173
SpeckleNoise,0.0460,0.9810,91.4993,0.8245
ColorJitter,0.0326,0.9872,93.0052,0.8770
GaussBlur,0.0448,0.9788,91.6155,0.8372
ColorReduce,0.0246,0.9902,94.2141,0.9065
