img,MSE,PSNR,SSIM,CosineSimilarity
test,0.0000,1.0000,361.2020,1.0000
scaled1.25,0.0738,0.9741,89.4496,0.7334
scaled0.5,0.1603,0.9456,86.0823,0.3749
scaled0.25,0.1898,0.9330,85.3467,0.1161
GaussNoise,0.0585,0.9754,90.4556,0.7893
SaltPepperNoise,0.0701,0.9704,89.6742,0.7419
SpeckleNoise,0.0586,0.9774,90.4494,0.7853
ColorJitter,0.0535,0.9796,90.8435,0.8040
GaussBlur,0.0528,0.9759,90.9008,0.8144
ColorReduce,0.0418,0.9836,91.9191,0.8476
