img,MSE,PSNR,SSIM,CosineSimilarity
test,0.0000,1.0000,361.2020,1.0000
scaled1.25,0.0683,0.9766,89.7863,0.7436
scaled0.5,0.1541,0.9485,86.2537,0.3641
scaled0.25,0.1947,0.9326,85.2380,0.0744
GaussNoise,0.0957,0.9645,88.3212,0.6296
SaltPepperNoise,0.0980,0.9629,88.2180,0.6261
SpeckleNoise,0.0903,0.9686,88.5722,0.6533
ColorJitter,0.0976,0.9711,88.2378,0.6271
GaussBlur,0.0548,0.9762,90.7434,0.7990
ColorReduce,0.0650,0.9793,89.9989,0.7554
