img,MSE,PSNR,SSIM,CosineSimilarity
test,0.0000,1.0000,361.2020,1.0000
scaled1.25,0.0557,0.9807,90.6759,0.7556
scaled0.5,0.1252,0.9601,87.1553,0.4052
scaled0.25,0.1595,0.9454,86.1042,0.0983
GaussNoise,0.0613,0.9759,90.2575,0.7281
SaltPepperNoise,0.0792,0.9689,89.1446,0.6458
SpeckleNoise,0.0511,0.9801,91.0457,0.7736
ColorJitter,0.0439,0.9840,91.7035,0.8052
GaussBlur,0.0442,0.9802,91.6742,0.8111
ColorReduce,0.0395,0.9864,92.1671,0.8255
