img,MSE,PSNR,SSIM,CosineSimilarity
test,0.0000,1.0000,361.2020,1.0000
scaled1.25,0.0776,0.9756,89.2332,0.7512
scaled0.5,0.1665,0.9464,85.9159,0.3927
scaled0.25,0.2248,0.9293,84.6120,0.0921
GaussNoise,0.1038,0.9642,87.9703,0.6582
SaltPepperNoise,0.1232,0.9511,87.2264,0.5829
SpeckleNoise,0.0989,0.9700,88.1780,0.6751
ColorJitter,0.1112,0.9692,87.6715,0.6333
GaussBlur,0.0606,0.9738,90.3051,0.8050
ColorReduce,0.0970,0.9717,88.2646,0.6750
